accX,accY,accZ,gyrX,gyrY,gyrZ,annotation
-2.6560330390930176,-9.834501266479492,-3.359522819519043,-0.0635281130671501,-2.7317090034484863,0.8380824327468872,#
-2.6560330390930176,-9.834501266479492,-3.359522819519043,-0.7207997441291809,-3.114099264144897,0.901610553264618,#
-2.837887763977051,-10.329815864562988,-1.4452648162841797,-1.0408836603164673,-3.312013864517212,0.8551861643791199,#
-2.4502503871917725,-10.573883056640623,-1.1820544004440308,-0.9309312105178832,-3.552687406539917,0.9003888368606567,#
-1.9046868085861208,-11.1433744430542,-2.8977081775665283,-0.8722898364067078,-3.856889486312866,1.0262233018875122,#
-1.0001999139785769,-9.468399047851562,-2.462214469909668,-0.6890356540679932,-3.953403472900391,1.1215155124664309,#
-1.0001999139785769,-9.468399047851562,-2.462214469909668,-0.9126058220863342,-4.074350833892822,1.2314679622650146,#
-0.6460621356964111,-7.944170951843262,3.201596736907959,-0.9370396137237548,-4.165977954864502,1.189930438995361,#
-1.4715858697891235,-8.193024635314941,1.160519003868103,-0.9749122262001038,-4.253940105438232,1.155722975730896,#
-1.887937068939209,-8.535198211669922,-1.5074783563613892,-1.1508362293243408,-4.297921180725098,0.893058717250824,#
-0.5048855543136597,-8.111669540405273,-1.0336993932724,-1.0518789291381836,-4.187968730926514,0.7977665066719055,#
-0.4666004180908203,-8.118846893310547,3.479164123535156,-1.3035480976104736,-4.2771525382995605,0.707361102104187,#
-0.4666004180908203,-8.118846893310547,3.479164123535156,-1.4477078914642334,-4.043808460235596,0.3017585575580597,#
-2.093719720840454,-9.04726219177246,3.31166672706604,-1.0653176307678225,-3.8923187255859375,-0.0097735561430454,#
-2.469392776489258,-7.494320392608643,0.9643075466156006,-0.1246128380298614,-3.849559545516968,-0.0586413368582725,#
-1.9453648328781128,-5.726025104522705,0.4522434771060943,0.0904053896665573,-3.866662979125977,0.100178949534893,#
-1.2299107313156128,-5.986842632293701,4.984249591827393,-0.0171037223190069,-3.800691604614258,0.2687727808952331,#
